sra_short_id, sra_long_id
ERR4596909
SRR7821143
SRR10420457
SRR12650502
SRR5055588
SRR9914179
SRR12511021
ERR4830954
SRR1969969
SRR5864581
SRR4046917
SRR13588343
ERR9786457
SRR12337771
SRR6041447
SRR9106281
SRR14520885
SRR21840143
ERR5166315
SRR8618281
SRR8715615
ERR3341300
SRR10518346
SRR1959316
SRR10038432
ERR4224522
ERR1213902
SRR6236653
SRR8080866
SRR1033717
SRR11823190
SRR19577049
SRR7662635
SRR5055229
ERR4800411
ERR6752907
SRR7310335
SRR18958329
SRR20994757
SRR5448533
SRR4094936
ERR2611515
ERR4181460
SRR5189596
ERR3530303
SRR12385309
ERR6017905
SRR8176528
SRR6922562
SRR2177737
SRR5105909
ERR4797621
SRR12103069
ERR550728
SRR17898857
SRR10972460
SRR11410631
ERR9030490
ERR1992241
ERR7987370
SRR11233298
SRR21460290
ERR5703406
SRR17406071
SRR7495701
SRR4427092
SRR1963116
ERR1701077
SRR8130530
ERR1742086
SRR8313054
ERR4399529
SRR8597348
SRR5489022
SRR9948659
ERR3053723
ERR2184658
SRR1481929
SRR6780911
SRR8655349
SRR7084923
SRR12508988
SRR5386665
SRR16760160
SRR12352270
SRR13803448
ERR2187920
SRR1969906
ERR2515749
SRR10087082
SRR9177999
SRR5714174
SRR15667824
SRR3736563
SRR1528484
ERR2209522
SRR11607328
SRR8871888
SRR2534086
SRR20394261
SRR16088002
SRR18931713
SRR21096813
SRR17988520
SRR3931214
SRR16988300
SRR9993870
SRR16058523
ERR2113568
SRR9043686
SRR7850966
SRR21951747
SRR6079417
SRR12881647
ERR1873424
SRR5639914
SRR7056110
SRR1774088
SRR2067262
SRR8199437
ERR1198017
SRR10810107
ERR4014938
SRR13070965
SRR507754
SRR15250911
SRR19372423
SRR7221376
SRR12013329
SRR6880070
SRR10806551
SRR13180390
SRR9095577
SRR10253890
ERR2653957
SRR18961292
SRR12772663
SRR1969403
SRR17787481
SRR9274745
SRR8951414
SRR13952779
ERR3335800
SRR6191273
SRR8559560
SRR1171998
SRR5129977
SRR9971503
SRR5865278
SRR4444906
ERR2515418
ERR593169
SRR4997063
SRR5201516
SRR16917490
SRR7209531
SRR18923779
SRR7346709
SRR3214567
SRR19172628
ERR6006264
SRR7912123
SRR10173570
ERR9834944
SRR14519751
SRR11791076
SRR8299407
SRR6920022
SRR8983667
SRR10869808
SRR6068253
ERR553237
ERR1535355
ERR4451297
SRR18729527
SRR5341355
SRR18209197
SRR13183203
SRR7286928
SRR16079479
ERR4821477
ERR4280175
SRR17480470
SRR8643248
ERR4076471
ERR1971556
ERR10048132
SRR7439596
SRR11454848
SRR18545486
SRR18934249
ERR4172915
SRR7527817
ERR5751102
SRR3486070
SRR5796598
ERR4326542
SRR20295902
SRR4012358
SRR1703340
ERR4760081
SRR8204813
SRR5811454
ERR2602184
SRR15603788
SRR6924118
SRR10338940
ERR5463795
SRR7538260
SRR8637922
ERR3674676
SRR4020060
SRR18832586
SRR9010142
SRR13066037
ERR6865891
SRR13825472
ERR9395935
SRR14450282
SRR6425536
SRR3660125
SRR5995884
SRR21883607
ERR981960
SRR9088753
SRR5204156
SRR10831193
SRR13945160
SRR11101148
SRR9588012
SRR18932373
SRR12982439
SRR7841122
ERR2229584
SRR7601469
SRR3930371
SRR19870017
SRR6682894
ERR3198413
ERR4899997
SRR5947711
SRR18217340
SRR11922520
SRR8809769
SRR18917026
SRR13619547
ERR3218955
SRR18769529
SRR3224781
SRR15458103
ERR3416394
