IS_Name	IS_Family	IS_Group
ISNagr3	IS6	IS6
ISNagr6	IS1595	ISH4
ISNagr7	IS1595	ISH4
ISNagr8	IS630	IS630
ISNamo1	IS5	ISH1
ISNamo10	IS6	IS6
ISNamo11	IS6	IS6
ISNamo12	IS6	IS6
ISNamo13	IS6	IS6
ISNamo14	IS630	IS630
ISNamo15	IS630	IS630
ISNamo16	IS630	IS630
ISNamo17	IS200/IS605	IS605
ISNamo18	IS200/IS605	IS605
ISNamo19	IS200/IS605	IS605
ISNamo2	IS5	ISH1
ISNamo20	IS200/IS605	IS1341
ISNamo21	IS200/IS605	IS1341
ISNamo22	IS200/IS605	IS1341
ISNamo23	IS200/IS605	IS1341
ISNamo24	IS200/IS605	IS1341
ISNamo25	IS200/IS605	IS1341
ISNamo26	IS200/IS605	IS1341
ISNamo3	IS66	ISBst12
ISNamo4	IS5	IS5
ISNamo5	IS701	IS701
ISNamo6	ISH3	ISH3
ISNamo7	IS6	IS6
ISNamo8	IS6	IS6
ISNamo9	IS6	IS6
ISNaoc1	IS200/IS605	IS1341
ISNaoc2	IS200/IS605	IS1341
ISNaoc3	IS200/IS605	IS1341
ISNaoc4	IS200/IS605	IS1341
ISNaoc5	IS200/IS605	IS1341
ISNaoc6	IS200/IS605	IS1341
ISNaoc7	IS200/IS605	IS1341
ISNaoc8	IS200/IS605	IS1341
ISNaoc9	IS6	IS6
ISNarch1	IS200/IS605	IS1341
ISNasp1	IS1595	ISH4
ISNch1	IS200/IS605	IS1341
ISNco1	ISNCY	ISDol1
ISNe2	IS481	IS481
ISNe7	IS1595	ISPna2
ISNemu1A	IS5	ISL2
ISNemu1B	IS5	ISL2
ISNesp1	IS1595	IS1016
ISNeu1	IS982	IS982
ISNeu2	IS982	IS982
ISNeu3	IS5	IS427
ISNeu4	IS3	IS3
ISNfa1	IS481	IS481
ISNfl1	ISNCY	ISDol1
ISNg1	IS3	IS150
ISNgo2	IS110	IS110
ISNgo3	IS110	IS110
ISNGR8	IS256	IS256
ISNGR9	IS5	IS427
ISNha1	IS701	IS701
ISNha10	IS256	IS256
ISNha2	IS701	IS701
ISNha3	IS1380	IS1380
ISNha4	IS3	IS407
ISNha5	IS1595	ISNha5
ISNha6	IS5	IS5
ISNha7	IS5	IS5
ISNha8	IS5	IS5
ISNha9	IS256	IS256
ISNhu1	IS200/IS605	IS605
ISNhu2	IS200/IS605	IS1341
ISNhu3	IS200/IS605	IS1341
ISNhu4	IS200/IS605	IS1341
ISNia1	IS1595	ISSod11
ISNia2	IS1595	IS1595
ISNieu1	IS1595	IS1595
ISNieu2	IS3	IS3
ISNieu3	IS3	IS3
ISNieu4	IS5	IS1031
ISNiha1	IS1595	IS1595
ISNimo1	IS1595	IS1595
ISNin1	IS200/IS605	IS605
ISNisp1	IS3	IS3
ISNisp2	IS1595	ISNwi1
ISNisp3	IS3	IS407
ISNisp4	IS256	IS256
ISNisp5	IS1	ISMhu11
ISNisp6	IS66	IS66
ISNisp7	IS5	IS5
ISNje1	IS200/IS605	IS1341
ISNje2	IS1595	ISH4
ISNma1	IS5	ISH1
ISNma11	IS200/IS605	IS1341
ISNma12	IS200/IS605	IS605
ISNma13	IS200/IS605	IS1341
ISNma14	IS200/IS605	IS1341
ISNma15	IS200/IS605	IS1341
ISNma16	IS200/IS605	IS1341
ISNma17	IS200/IS605	IS1341
ISNma18	IS200/IS605	IS1341
ISNma19	IS200/IS605	IS1341
ISNma2	IS5	ISH1
ISNma20	IS607	IS607
ISNma21	IS200/IS605	IS1341
ISNma22	IS200/IS605	IS1341
ISNma23	IS200/IS605	IS1341
ISNma24	IS200/IS605	IS1341
ISNma25	IS200/IS605	IS1341
ISNma26	IS200/IS605	IS1341
ISNma3	IS1595	ISH4
ISNma4	IS6	IS6
ISNma5	IS630	IS630
ISNma6	IS630	IS630
ISNma7	IS630	IS630
ISNma8	IS630	IS630
ISNme1	IS5	IS5
ISNme2	IS1595	IS1016
ISNme3	IS1595	IS1016
ISNme4	IS1595	IS1016
ISNme5	IS110	IS110
ISNml1	IS1380	IS1380
ISNml2	IS1380	IS1380
ISNml3	IS1182	IS1182
ISNml4	IS256	IS256
ISNmo1	IS1595	ISSod11
ISNmo2	IS4	IS4
ISNmo3	IS481	IS481
ISNmo4	IS5	IS5
ISNmu1	IS3	IS3
ISNmu2	IS3	IS407
ISNmu3	IS3	IS2
