IS_Name	IS_Family	IS_Group
ISPssp5	IS5	IS427
ISPssy	IS5	IS5
ISPst1	IS30	IS30
ISPst10	IS30	IS30
ISPst12	IS5	IS5
ISPst13	IS1182	IS1182
ISPst2	ISL3	ISL3
ISPst3	IS21	IS21
ISPst4	IS3	IS51
ISPst5	IS5	IS5
ISPst6	IS110	IS1111
ISPst7	IS5	IS5
ISPst8	IS5	IS427
ISPst9	ISL3	ISL3
ISPsta1	IS1595	ISPna2
ISPsy1	IS630	IS630
ISPsy11	IS3	IS3
ISPsy13	IS3	IS3
ISPsy14	IS21	IS21
ISPsy16	IS110	IS1111
ISPsy17	IS256	IS256
ISPsy19	IS5	IS1031
ISPsy2	IS5	IS5
ISPsy20	IS21	IS21
ISPsy24	IS3	IS3
ISPsy25	IS630	IS630
